[2026-08-06 08:58:52] [INFO] =================================================================
[2026-08-06 08:58:52] [INFO] DWP Temp Cleanup - Session: 2026-08-06_08-58-52
[2026-08-06 08:58:52] [INFO] Mode       : LIVE
[2026-08-06 08:58:52] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-06 08:58:52)
[2026-08-06 08:58:52] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-06 08:58:52] [INFO] =================================================================
[2026-08-06 08:58:52] [INFO] --- Scanning: C:\Users\labuser\AppData\Local\Temp ---
[2026-08-06 08:58:52] [INFO] Files matching criteria: 115
[2026-08-06 08:58:52] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\41633f49-db4a-4649-819d-b073e4db82ab.tmp
[2026-08-06 08:58:52] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\53f83266-e523-4538-9e1d-6b6bf0f8a9b0.tmp
[2026-08-06 08:58:52] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\f2ebec0d-a23c-4599-a097-fb87d36cee5f.tmp
[2026-08-06 08:58:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\0233c29686924e718cf73a09110c8b3a.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-58-52\97b70a100eef4df4862729c1b62cf216.log
[2026-08-06 08:58:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\02676340781441f1a926516b4b57f95b.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-58-52\3bf80637007e42a38038fc4dc3f82351.ps1
[2026-08-06 08:58:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\080fc579204f41128abac5a91cf232fd.csv -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-58-52\7edf1831ed044a7e9c6e05ce955f0ee5.csv
[2026-08-06 08:58:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\08966a81c44b4a8f98c3325162ec705a.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-58-52\059081a4ac284cc8addb4f36d87c0bd9.exe
