[2026-08-05 11:49:32] [INFO] =================================================================
[2026-08-05 11:49:32] [INFO] DWP Temp Cleanup - Session: 2026-08-05_11-49-32
[2026-08-05 11:49:32] [INFO] Mode       : LIVE
[2026-08-05 11:49:32] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 11:49:32)
[2026-08-05 11:49:32] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\a1caa55ff11f43cebbdf284c9178f7a4.ignore
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\a9ff142b040c4b63ab50eeb3665912d8.manifest
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\5dc86fdc7c1e438dae4dfce6342d5df3.txt
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\76dd1517a00443739560e3002cf76940.txt
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\fbb65b909e3b4f918b5ea95ff87fee11.psm1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\9b3a6a949c0c44f0831dcf1e8785a00d.psm1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\cf975cae73994e5daef5260d6ce19fe0.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\ChocolateyTabExpansion.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\c483ba37f9e8415aac355a4be1e28691.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Format-FileSize.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\864232e8ce0d41a4a017c893504d1cb2.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\ce05611499fa4d5e8afdf25644f1ece3.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\7d824a8b17be45af9e55d6f57519300e.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyUnzip.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\9fd294840b1e48aca0ad8a62a7fcf977.ps1
