[2026-08-05 12:04:52] [INFO] =================================================================
[2026-08-05 12:04:52] [INFO] DWP Temp Cleanup - Session: 2026-08-05_12-04-52
[2026-08-05 12:04:52] [INFO] Mode       : LIVE
[2026-08-05 12:04:52] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 12:04:52)
[2026-08-05 12:04:52] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 12:04:52] [INFO] =================================================================
[2026-08-05 12:04:52] [INFO] --- Scanning: C:\Users\labuser\AppData\Local\Temp ---
[2026-08-05 12:04:52] [INFO] Files matching criteria: 103
[2026-08-05 12:04:52] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\91305b2a-d110-4e24-8c50-0a943c4c976f.tmp
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0403a4dc859542e39b3f7ea765d3f351.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\b026a2f4c58a4870989b4b69e477ba00.txt
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\058f4f7cdfc041a589fed7e10785a71d.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\80ec26db101b455d9c6046e100999e95.ps1
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0865ed0e8d0e404ab198948392425f29.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\9ffbe55b501b4b51a2ecbd9195aa23ce.ps1
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\09c0038dcb9a4e558536f62917701807.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\b7da904e09e1469d81e9391ed36e2d41.ps1
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0a43034f602b4335a3093a1c14ff2be2.manifest -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\59d59d6c75454143a491cec8e4580a35.manifest
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0ad9120c63194efd90a420a3d2ad7f58.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\f7e29b6be503419da816952ed2d713d2.ignore
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\11f50ac617ae4e58adef1a31fe45bf66.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\70b6dddc6f044c74b948bfcd22b8bed6.exe
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\14ce1a940df34ee28cf649670bb1abf6.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\a61a663cd77144efa8a4529d8394af78.exe
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\17df804eef1c47a5808d22ac8403e4f9.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\c58186ad12bd4ad5864c8acff63a0d19.ps1
[2026-08-05 12:04:52] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\199bbb3e06c2475889143cae1247a720.zip -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-04-52\8e9109d08ebc4e79800582c4c99735e3.zip
