[2026-08-06 08:49:23] [INFO] =================================================================
[2026-08-06 08:49:23] [INFO] DWP Temp Cleanup - Session: 2026-08-06_08-49-23
[2026-08-06 08:49:23] [INFO] Mode       : LIVE
[2026-08-06 08:49:23] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-06 08:49:23)
[2026-08-06 08:49:23] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-06 08:49:23] [INFO] =================================================================
[2026-08-06 08:49:23] [INFO] --- Scanning: C:\Users\labuser\AppData\Local\Temp ---
[2026-08-06 08:49:24] [INFO] Files matching criteria: 111
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\.ses -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\8fb4ac135bca46f5903a95c90320e840.ses
[2026-08-06 08:49:24] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\41633f49-db4a-4649-819d-b073e4db82ab.tmp
[2026-08-06 08:49:24] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\53f83266-e523-4538-9e1d-6b6bf0f8a9b0.tmp
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\2a11f2a546a444cab92af4e5169f7937.log
[2026-08-06 08:49:24] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\f2ebec0d-a23c-4599-a097-fb87d36cee5f.tmp
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\5593c25fe05d41e88808e108d73fc1c7.dat
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\601e7489442b49f6b29fdbc8a023cc5a.py
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\006b9d8e5d4949f0a9668bfc2003d3c0.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\09b55a5fcaf54b1cbd29369630d4f475.ignore
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\00cedac59b524c09bdefefe9b9ccd706.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\b3ed741ce652463682b667d4777e2f3e.exe
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\06e8a98a37cb436b97b57ba54d444b29.config -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\33c018415b36435792d2561c26bd6371.config
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\0aee40a77a064ffbbb2feb4885147656.cmd -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\d1c9c8353062401da8990dd01bcad4fc.cmd
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\103ca92ba867464c9eccaf11647003f0.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\4265ad2ec2ef484b825ae4eac4c2bfe7.ps1
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1093e9544f2242ac90f0c3509f5cee9a.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\dada85f2b1494c7083920077f95e3c54.ps1
[2026-08-06 08:49:24] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\12c9b4c2278d4d5f8b7a3a2c6d9ade9a.psm1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\f618a70e6f3f4ab6b9c772e06f7ba940.psm1
[2026-08-06 08:49:36] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1a13fda87fd646c6b47792ccb6f313cf.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\08966a81c44b4a8f98c3325162ec705a.exe
[2026-08-06 08:51:29] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1b5889fa435d43899c2ab8d376edab86.psmdcp -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\0fc1b39a9b3a4c78a2a9db9ca46204a9.psmdcp
[2026-08-06 08:51:29] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1b75a411e63e48fbb68b4463c3efd938.xml -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\aefefe7887064635807705dc9d9f41d5.xml
[2026-08-06 08:51:30] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1d4f1c0dcbf143dda2c81596414afad6.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\4f28db8d7d3f4c5baf773147c7029bbe.ps1
[2026-08-06 08:51:30] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1da679e7b3ef48b2bf0ff4ad508e7576.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\f19f280de4094af1bdb6fd982a784fdf.log
[2026-08-06 08:51:39] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\2317d205f09d413282ba2fff09c8ff94.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\4f5da08fd6134439a96d0a111f5c5bec.exe
[2026-08-06 08:51:39] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\234d2e5c6a97489288464729d5fa1606.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\96c21236e1204991827b9a20a67c4ffc.exe
[2026-08-06 08:51:39] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\2372d0bffa14482594faca675c0d7863.ses -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\ddf12854acae4ebbadc5fd1182eb81ce.ses
[2026-08-06 08:51:39] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\250f23ec0f7e4f278fbfbee9cf9c3dd6.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\19bff60150194e82b2a1a071e1ee9446.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\25c510df0996403caddbab4a7a8d52ba.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\7519bd65c04045ffbec2cf5886af447d.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\25eb763c8e53440b81fd6780e7cd976c.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\37db2707a480466b8b8d6d3bc1619ca9.exe
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\26333c10763d4c1291e6db93280f6116.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\2e4f25a7ecc744988a9c0909dcab4124.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\2639c6ad3a794db4bfbe94ad9fafe758.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\47846fa598184945a4cc3215d00af9e5.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\2f7776f65ecd4ec89be9cb1087592692.py -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\d75fa77f87f34f85b1167a126ad67be8.py
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\31d678b9b54541aca41172819fb21e43.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\2cd1dc40edc7441980e20991c5c56b90.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\373e1d1de5414a4ea2a6b63e74e80567.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\3f88561f4e734de0b23f8aaa25ee21cb.txt
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\37cbf45ea92946adbd544acc0c2ef3c4.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\ff428f07a0c74fa99cba19e725846e19.ps1
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\3c56fe7e06a046c18e40713c5bda2a59.manifest -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\e53f8410ba5241f5ab812dcf26d78e92.manifest
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\3f881c257fb840b5bd99e0e2ae68aec1.log -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\198bac3f09234b7a8d42669934257114.log
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\3fbdf172a3904b118b3481879b53d301.rels -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\0f054de30b784f3491212a27b86e2ef9.rels
[2026-08-06 08:51:40] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\40ea1b4ca7bb45a382e826950f5115a0.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\26fcb692b974457b800e9c4fd52c682f.ps1
[2026-08-06 08:51:41] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\415c2a81657c4b9ab754a0cd56f73719.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\5a982541c35047df93c05b498a07161d.ps1
[2026-08-06 08:51:41] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\4196cbcaa4da47d58d692957dc180d72.csv -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-06_08-49-23\1f1cb9ae76dc4344a2ad81d42483e838.csv
