[2026-08-05 12:21:16] [INFO] =================================================================
[2026-08-05 12:21:16] [INFO] DWP Temp Cleanup - Session: 2026-08-05_12-21-16
[2026-08-05 12:21:16] [INFO] Mode       : LIVE
[2026-08-05 12:21:16] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 12:21:16)
[2026-08-05 12:21:16] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 12:21:16] [INFO] =================================================================
[2026-08-05 12:21:16] [INFO] --- Scanning: C:\Users\labuser\AppData\Local\Temp ---
[2026-08-05 12:21:16] [INFO] Files matching criteria: 104
[2026-08-05 12:21:16] [WARN] Locked, skipped: C:\Users\labuser\AppData\Local\Temp\2\91305b2a-d110-4e24-8c50-0a943c4c976f.tmp
[2026-08-05 12:21:16] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0403a4dc859542e39b3f7ea765d3f351.txt -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\e4b53ba373e045d8842c911951f201ca.txt
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\058f4f7cdfc041a589fed7e10785a71d.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\d0396a2cdd67466cae4deba308d0beaf.ps1
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0865ed0e8d0e404ab198948392425f29.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\abd867419c694897b3dca40bf4bd0392.ps1
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\09c0038dcb9a4e558536f62917701807.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\25c510df0996403caddbab4a7a8d52ba.ps1
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0a43034f602b4335a3093a1c14ff2be2.manifest -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\ae6be5e76ddf4600806cda21eb1522bf.manifest
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\0ad9120c63194efd90a420a3d2ad7f58.ignore -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\901cfc807a7940a7b6443e0a1c532ad5.ignore
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\11f50ac617ae4e58adef1a31fe45bf66.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\1a13fda87fd646c6b47792ccb6f313cf.exe
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\14ce1a940df34ee28cf649670bb1abf6.exe -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\2317d205f09d413282ba2fff09c8ff94.exe
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\17df804eef1c47a5808d22ac8403e4f9.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\da3ebf85a2cb488cb9e60b76db504950.ps1
[2026-08-05 12:21:17] [INFO] Moved: C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-58-33\199bbb3e06c2475889143cae1247a720.zip -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_12-21-16\8fc278ade43144829b037e8180d61cc6.zip
